Layer,Code,Name,Parent Account,Parent Name,Type,active,pending,state
Layer 3,111,Capital,11,Capital & Reserve,View Type,TRUE,FALSE,approve
Layer 3,112,Reserve,11,Capital & Reserve,View Type,TRUE,FALSE,approve
Layer 3,121,Borrowings under Bangladesh Bank,12,Borrowings,View Type,TRUE,FALSE,approve
Layer 3,122,Borrowings from other Banks,12,Borrowings,View Type,TRUE,FALSE,approve
Layer 3,123,Borrowings from other Institutions,12,Borrowings,View Type,TRUE,FALSE,approve
Layer 3,125,Interest Payable on Borrowings,12,Borrowings,View Type,TRUE,FALSE,approve
Layer 3,131,Customer Deposits -Current & Others,13,Deposits,View Type,TRUE,FALSE,approve
Layer 3,132,"Customer Deposits -SB, FD, RD, SND etc.",13,Deposits,View Type,TRUE,FALSE,approve
Layer 3,133,Bank & NBFI Deposits -Current & Others,13,Deposits,View Type,TRUE,FALSE,approve
Layer 3,134,Bank & NBFI Deposits -FD & Others,13,Deposits,View Type,TRUE,FALSE,approve
Layer 3,135,IP on Customer Deposits -Current & Others,13,Deposits,View Type,TRUE,FALSE,approve
Layer 3,136,"Interest Payable on Customer Deposits -SB, FD, RD, SND etc.",13,Deposits,View Type,TRUE,FALSE,approve
Layer 3,137,Interest Payable on Bank & NBFI Deposits,13,Deposits,View Type,TRUE,FALSE,approve
Layer 3,138,Customer Deposits -Bills Payable,13,Deposits,View Type,TRUE,FALSE,approve
Layer 3,141,Subordinated Bond,14,Bond,View Type,TRUE,FALSE,approve
Layer 3,142,Other Bond,14,Bond,View Type,TRUE,FALSE,approve
Layer 3,151,Interest Suspenses Account,15,Other Liabilities,View Type,TRUE,FALSE,approve
Layer 3,152,Other misc. liabilities,15,Other Liabilities,View Type,TRUE,FALSE,approve
Layer 3,153,Provision,15,Other Liabilities,View Type,TRUE,FALSE,approve
Layer 3,154,Accumulated Depreciation,15,Other Liabilities,View Type,TRUE,FALSE,approve
Layer 3,211,Cash,21,Cash & Bank Balance,View Type,TRUE,FALSE,approve
Layer 3,212,Balance with Bangladesh Bank,21,Cash & Bank Balance,View Type,TRUE,FALSE,approve
Layer 3,213,Balance with Agent Bank,21,Cash & Bank Balance,View Type,TRUE,FALSE,approve
