Code,Name,Location of Branch,Active,Pending,Status
001,Head Office,Urban,True,False,Approved
002,Principal Branch,Urban,True,False,Approved
003,Panthapath Branch,Urban,True,False,Approved
004,Babu Bazar Branch,Urban,True,False,Approved
005,Agrabad Branch,Urban,True,False,Approved
006,Sonargaon Branch,Rural,True,False,Approved
007,Uttara Branch,Rural,True,False,Approved
008,Progati Sarani Branch,Urban,True,False,Approved
009,CDA Avenue Branch,Urban,True,False,Approved
010,Sreenagar Branch,Rural,True,False,Approved
011,Pallabi Branch,Urban,True,False,Approved
012,Dilkusha Branch,Urban,True,False,Approved
013,Khatungonj Branch,Urban,True,False,Approved
014,Dhanmondi Branch,Urban,True,False,Approved
015,Aman Bazar Branch,Rural,True,False,Approved
016,Bashundhara City Branch,Urban,True,False,Approved
017,Chandra Branch,Urban,True,False,Approved
018,Jubilee Road Branch,Urban,True,False,Approved
019,Nazirhat Branch,Rural,True,False,Approved
020,Chakoria Branch,Rural,True,False,Approved
021,Pabna Branch,Urban,True,False,Approved
022,Gulshan Branch,Urban,True,False,Approved
023,Sylhet Branch,Urban,True,False,Approved
024,Moulvi Bazar Branch,Urban,True,False,Approved
025,Savar Branch,Urban,True,False,Approved
026,Fulbaria Branch,Urban,True,False,Approved
027,Madaripur Branch,Urban,True,False,Approved
028,Dholaikhal Branch,Urban,True,False,Approved
029,Raipur Branch,Urban,True,False,Approved
030,Aganagar Branch,Rural,True,False,Approved
031,Joypurhat Branch,Urban,True,False,Approved
032,Narayangonj Branch,Rural,True,False,Approved
033,Rangpur Branch,Urban,True,False,Approved
034,Banani Branch,Urban,True,False,Approved
035,Kushtia Branch,Urban,True,False,Approved
036,Gourandi Branch,Rural,True,False,Approved
037,Tongi Branch,Urban,True,False,Approved
038,Elephant Road Branch,Urban,True,False,Approved
039,Feni Branch,Urban,True,False,Approved
040,Dania Branch,Urban,True,False,Approved
041,Bogra Branch,Rural,True,False,Approved
042,Dhorkora Bazar Branch,Rural,True,False,Approved
